=============================================
                                             
========== INCONSISTENT STAR INFO ==========
                                             
=============================================
========== NOT IN CASTS ==========
Star Details - Star ID: null, Name: Joan Fontaine, Birth Year: 1917, MovieIDs: .
Star Details - Star ID: null, Name: Muriel Angelus, Birth Year: 1909, MovieIDs: .
Star Details - Star ID: null, Name: Diane Cilento, Birth Year: 1933, MovieIDs: .
Star Details - Star ID: null, Name: Leslie Hope, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: Douglass Watson, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: The Wiere~Brothers, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: Carol Channing, Birth Year: 1921, MovieIDs: .
Star Details - Star ID: null, Name: Clelia Mantania, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: Francoise Fabian, Birth Year: 1935, MovieIDs: .
Star Details - Star ID: null, Name: Rosemary Clooney, Birth Year: 1928, MovieIDs: .
Star Details - Star ID: null, Name: Dick Wessel, Birth Year: 1910, MovieIDs: .
Star Details - Star ID: null, Name: Lee Curreri, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: Michelle Johnson, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: Vladimir Sokoloff, Birth Year: 1889, MovieIDs: .
Star Details - Star ID: null, Name: Richard Johnson, Birth Year: 1927, MovieIDs: .
Star Details - Star ID: null, Name: Jo Morrow, Birth Year: 1940, MovieIDs: .
Star Details - Star ID: null, Name: Leonard Carey, Birth Year: 1893, MovieIDs: .
Star Details - Star ID: null, Name: Paul Smith, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: Mike Forrest, Birth Year: -1, MovieIDs: .
Star Details - Star ID: null, Name: Simone Signoret, Birth Year: 1921, MovieIDs: .
Star Details - Star ID: null, Name: Leslie Nielsen, Birth Year: 1925, MovieIDs: .
Star Details - Star ID: null, Name: Jean Gillie, Birth Year: 1915, MovieIDs: .
Star Details - Star ID: null, Name: Jules Berry, Birth Year: 1883, MovieIDs: .
Star Details - Star ID: null, Name: William Harrigan, Birth Year: 1894, MovieIDs: .
Star Details - Star ID: null, Name: James Robertson, Birth Year: -1, MovieIDs: .
